time,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_wrist_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_wrist_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,null,null,waist_yaw_joint,null,head_yaw_joint,head_pitch_joint,left_thumb_mcp_roll_joint,left_thumb_mcp_pitch_joint,left_index_mcp_joint,left_middle_mcp_joint,left_ring_mcp_joint,left_pinky_mcp_joint,right_thumb_mcp_roll_joint,right_thumb_mcp_pitch_joint,right_index_mcp_joint,right_middle_mcp_joint,right_ring_mcp_joint,right_pinky_mcp_joint
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.737871,0.306498,-1.864858,0.258789,0.15574,1.000517,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.727043,0.588521,0.553826,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.737929,0.306497,-1.864859,0.258788,0.155741,1.000537,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.726176,0.588088,0.553971,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.737988,0.306497,-1.864859,0.258788,0.155741,1.000557,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.725294,0.587647,0.554118,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738048,0.306497,-1.86486,0.258788,0.155742,1.000577,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.724396,0.587198,0.554267,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738109,0.306496,-1.86486,0.258787,0.155742,1.000598,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.723481,0.586741,0.55442,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738172,0.306496,-1.864861,0.258787,0.155743,1.000618,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.722551,0.586275,0.554575,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738235,0.306495,-1.864861,0.258786,0.155743,1.00064,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.721604,0.585802,0.554733,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.7383,0.306495,-1.864862,0.258786,0.155744,1.000661,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.720642,0.585321,0.554893,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738365,0.306494,-1.864862,0.258786,0.155744,1.000683,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.719663,0.584832,0.555056,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738432,0.306494,-1.864863,0.258785,0.155745,1.000706,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.718668,0.584334,0.555222,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.7385,0.306493,-1.864863,0.258785,0.155745,1.000728,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.717658,0.583829,0.55539,0.3
0.01,0.165261,0.327878,0.441613,-1.10982,1.2556,-0.056649,-1.507673,-0.148966,-0.738568,0.306493,-1.864864,0.258784,0.155746,1.000751,0,0,-0.030326,0,-0.2618,-0.010108,1.5,0.2,0.6,0.6,0.6,0.55,0,0.2,0.716631,0.583316,0.555561,0.3
